date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-08 23:36:07,i3ahab,ItsLifeFact,0,0,0,"Covid19 right now",,,,1270137561441320967,https://twitter.com/i3ahab/status/1270137561441320967
2020-06-08 23:36:04,rednoticiaspa,,0,2,2,"Registro #COVID19 para hoy 08jun2020 día 91: 16854 casos (429 nuevos) 10401 recuperados 6055 aislados (686 en hoteles) 427 hospitalizados (340 sala, 87 UCI) 398 fallecidos (5 nuevas) 79268 pruebas (1676 nuevas, 59859-, 19409+) #QuédateEnCasa #ProtégetePanamá ",,,#COVID19 #Qu #Qu #Prot,1270137551676936192,https://twitter.com/rednoticiaspa/status/1270137551676936192
2020-06-08 23:36:04,WestColumbiaSC,,0,2,0,"@WLTX Local #WeCoSC businesses in need of free thermometers? Check out this free program! #headwest #COVID19 #pandemic",,@WLTX,#WeCoSC #headwest #COVID19 #pandemic,1270137550015995906,https://twitter.com/WestColumbiaSC/status/1270137550015995906
2020-06-08 23:36:04,Noticias0241,,0,0,0,"Daniel_RiosVE: El director de la OMS alertó que se han reportado más de 100.000 casos de #COVID19 en 9 de los últimos 10 días. Ayer se reportaron más de 136.000 casos. Casi el 75% de los casos del domingo provienen de 10 países, principalmente de América y el sur de Asia. #…",,,#COVID19,1270137549214932995,https://twitter.com/Noticias0241/status/1270137549214932995
2020-06-08 23:36:04,budundut70,KemensosRI,0,0,0,"Walau sy tdk termasuk dr semua tahapan Bansos, BLT maupun BST thd dampak pandemi #COVID19 di #IndonesiaMelawanCovid19 Sy ttp MENDUKUNG @KemensosRI @juliaribatubara @BNPB_Indonesia @jokowi &amp; MENGUTUK @BPJSKesehatanRI yg tlh membuat TAGIHAN IURAN layaknya RENTENIR &amp; LINTAH DARAT",,@KemensosRI @juliaribatubara @BNPB_Indonesia @jokowi @BPJSKesehatanRI,#COVID19 #IndonesiaMelawanCovid19,1270137547801243648,https://twitter.com/budundut70/status/1270137547801243648
2020-06-08 23:36:03,PCsharma83,OpIndia_com,0,0,0,"And they are same party who forced migrants out of Delhi. This has lead Covid19 reaching to remotest area. ",,,,1270137547025334277,https://twitter.com/PCsharma83/status/1270137547025334277
2020-06-08 23:36:03,BerylX1130,qiaocollective,0,0,0,"That's the evidence Chinese Covid19 cover-up they said? This is ridiculous. They don't understand the Chinese medical insurance system at all. The end of the year is a busy period for Chinese hospitals because medical insurance is about to expire for that year.",,,,1270137544701652993,https://twitter.com/BerylX1130/status/1270137544701652993
2020-06-08 23:36:02,eraldoveronezi,,1,0,1,"Como estamos de transparência sobre o covid19? Já temos um portal confiável a nível Nacional?",,,,1270137539140243459,https://twitter.com/eraldoveronezi/status/1270137539140243459
2020-06-08 23:36:01,eldamon,TomiLahren,0,1,2,"Agreed, it's the parents that raise insecure bigots and racists that grow to be bullies, cops & real estate cons that are the problem. Like a broken clock you finally got one right. #VoteBlue2020 #StaySafe #COVID19 ",,,#VoteBlue2020 #StaySafe #COVID19,1270137537898536961,https://twitter.com/eldamon/status/1270137537898536961
2020-06-08 23:36:00,Colorado_AAP,SenatorBennet,0,1,1,"Wear masks in public so fewer Coloradans get #Covid19 #listentotheexperts",,,#Covid19 #listentotheexperts,1270137534098571265,https://twitter.com/Colorado_AAP/status/1270137534098571265
